id	name	type	maintenance_responsibility	park	street	image	neighborhood	council_district	ward	tract	public_works_division	pli_division	police_zone	fire_zone	latitude	longitude
740206795	Deer Pit Playground		Parks - Northern	Allegheny Commons	W OHIO ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Deer_Pit_Playground.jpg	Allegheny Center	1	22	42003562700	1	22	1	1-7	40.45303722	-80.01356318
1648138070	Denny Playground		Parks - Northeast	Denny Park	LIBERTY AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Denny_Playground.jpg	Strip District	7	6	42003020300	6	6	2	3-2	40.45770165	-79.9733972
54638482	Dinan Playground		Parks - Northeast	Dinan Park	FARMINGTON ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Dinan_Playground.jpg	Stanton Heights	7	10	42003101800	2	10	5	3-7	40.48416811	-79.93305044
1242899117	Dunbar Playground		Parks - Western	Dunbar Park	CLAIRHAVEN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Dunbar_Playground.jpg	Crafton Heights	2	28	42003281500	5	28	6	1-18	40.43935055	-80.05199884
838146164	Dunseith Playground		Parks - Schenley	Shalane's Play Yard Park	DUNSEITH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Dunseith_Playground.jpg	West Oakland	6	4	42003040200	3	4	4	2-10	40.44259941	-79.96489028
1285533497	East Carnegie Playground		Parks - Western	East Carnegie Park	DOOLITTLE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/East_Carnegie_Playground.jpg	East Carnegie	2	28	42003562800	5	28	6	1-19	40.41463068	-80.0750354
1219022982	Eileen McCoy Playground		Parks - Western	Emerald View Park - Eileen McCoy Park	SHALER ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Eileen_McCoy_Playground.jpg	Duquesne Heights	2	19	42003191100	5	19	3	4-1	40.43817113	-80.02445365
727148815	Eleanor St. Playground		Parks - Southern	Eleanor Street Park	ELEANOR ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Eleanor_St._Playground.jpg	South Side Slopes	3	16	42003160800	3	16	3	4-22	40.42142817	-79.97286059
1542270554	Enright Playground		Parks - Northeast	Enright Park	EVA ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Enright_Playground.jpg	East Liberty	9	8	42003111500	2	8	5	3-23	40.46208116	-79.92998886
1539482547	Esplen Playground		Parks - Western	Esplen Park	ESPLEN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Esplen_Playground.jpg	Esplen	2	20	42003562500	5	20	6	1-27	40.46069826	-80.05082618
1210727862	Eric Guy Kelly Playground		Parks - Western	Fairywood Park	VILLAGE RD	https://tools.wprdc.org/images/pittsburgh/playgrounds/Eric_Guy_Kelly_Playground.jpg	Fairywood	2	28	42003563000	5	28	6	1-16	40.44867861	-80.08021757
117423564	Farmhouse Playground		Parks - Northeast	Highland Park	FARMHOUSE RD	https://tools.wprdc.org/images/pittsburgh/playgrounds/Farmhouse_Playground.jpg	Highland Park	7	11	42003980100	2	11	5	3-9	40.47607793	-79.91349918
1359278006	Fifty-Seventh St Playground		Parks - Northeast	Fifty-Seventh Street Park	57TH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Fifty-Seventh_St_Playground.jpg	Upper Lawrenceville	7	10	42003101100	2	10	2	3-5	40.4859843	-79.94681464
232581452	Fineview Playground		Parks - Northern	Fineview Park	FINEVIEW AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Fineview_Playground.jpg	Fineview	1	25	42003250900	1	25	1	1-10	40.46183271	-80.00362973
1892258603	Forbes and Braddock Playground		Parks - Eastern	Frick Park	BRADDOCK AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Forbes_and_Braddock_Playground.jpg	Regent Square	5	14	42003141000	3	14	4	2-16	40.43908525	-79.89804561
190774095	Fort Pitt Playground		Parks - Northeast	Fort Pitt Park	HILLCREST ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Fort_Pitt_Playground.jpg	Garfield	9	10	42003101600	2	10	5	3-4	40.46991312	-79.94182456
1747939010	Four Mile Run Playground		Parks - Schenley	Four Mile Run Park	SALINE ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Four_Mile_Run_Playground.jpg	Greenfield	5	14	42003151600	3	14	4	2-12	40.42789143	-79.94869958
589541836	Frazier Playground		Parks - Schenley	Frazier Park	FRAZIER ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Frazier_Playground.jpg	South Oakland	3	4	42003040900	3	4	4	2-11	40.42921535	-79.95390965
1331930548	Frick Beechwood Playground		Parks - Eastern	Frick Park	BEECHWOOD BLVD		Squirrel Hill South	5	14	42003980300	3	14	4	2-21	40.42996313	-79.91474939
2110107146	Garland Playground		Parks - Northeast	Garland Park	N ST CLAIR ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Garland_Playground.jpg	East Liberty	9	11	42003111500	2	11	5	3-8	40.46351426	-79.92799147
1047459498	Grandview Playground		Parks - Southern	Emerald View Park - Grandview Park	MCLAIN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Grandview_Playground.jpg	Allentown	3	18	42003180300	5	18	3	4-5	40.42474332	-79.99392519
1068976003	Granville Playground		Parks - Schenley	Granville Park	ENOCH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Granville_Playground.jpg	Crawford-Roberts	6	3	42003030500	3	3	2	2-1	40.44452738	-79.98300734
937941714	Hays Playground		Parks - Southern	Hays Park	HILLBURN ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Hays_Playground.jpg	Hays	5	31	42003562900	3	31	4	4-20	40.38347763	-79.9318192
276806708	Herschel Playground		Parks - Western	Herschel Park	HERSCHEL ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Herschel_Playground.jpg	Elliott	2	20	42003562600	5	20	6	1-17	40.44026967	-80.04340047
82940829	Heth's Playground		Parks - Northeast	Heth's Park	HAMPTON ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Heth's_Playground.jpg	Morningside	7	10	42003101400	2	10	5	3-7	40.47688769	-79.92817805
