id	name	type	maintenance_responsibility	park	street	image	neighborhood	council_district	ward	tract	public_works_division	pli_division	police_zone	fire_zone	latitude	longitude
54856120	West End Playground		Parks - Western	West End Park	WEST END PARK DR	https://tools.wprdc.org/images/pittsburgh/playgrounds/West_End_Playground.jpg	Elliott	2	20	42003562600	5	20	6	1-17	40.43766525	-80.03743044
1425289349	West Penn Playground		Parks - Northeast	West Penn Park	30TH ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/West_Penn_Playground.jpg	Polish Hill	7	6	42003060500	6	6	2	2-6	40.45607916	-79.9703117
1038792577	Westinghouse Playground		Parks - Eastern	Westinghouse Park	N MURTLAND ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Westinghouse_Playground.jpg	Point Breeze North	9	14	42003140500	2	14	4	3-14	40.45285913	-79.90321021
680315308	Wightman Playground		Parks - Eastern	Wightman Park	SOLWAY ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Wightman_Playground.jpg	Squirrel Hill North	8	14	42003140300	3	14	4	2-18	40.44330313	-79.92646235
1998890669	Winters Playground		Parks - Southern	Winters Park	HURON ST	https://tools.wprdc.org/images/pittsburgh/playgrounds/Winters_Playground.jpg	South Side Slopes	3	17	42003170600	3	17	3	4-3	40.42293167	-79.98129205
815926730	Woods Run Playground		Parks - Northern	Woods Run Park	CENTRAL AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Woods_Run_Playground.jpg	Marshall-Shadeland	1	27	42003271500	1	27	1	1-14	40.47634778	-80.02926479
1137558943	Martin Luther King Playground		Parks - Northern	Allegheny Commons	E NORTH AVE	https://tools.wprdc.org/images/pittsburgh/playgrounds/Martin_Luther_King_Playground.jpg	Allegheny Center	1	22	42003562700	1	22	1	1-6	40.45528059	-80.0046959
1199980206	Phillips Lower Playground						Carrick	4	29	42003290400	3	29	3	4-23	40.38814351	-79.99030866
2108783707	Duncan Park Playground			Duncan Park	DUNCAN ST		Upper Lawrenceville	7	10	42003101100	2	10	2	3-5	40.48024617	-79.94846142
675610013	McKinley Upper Playground			McKinley Park	MICHIGAN ST		Beltzhoover	4	18	42003562400	5	18	3	4-16	40.41572992	-80.00295033
1683700344	Liberty Green Playground			Liberty Green Park			East Liberty	9	11	42003111500	2	11	5	3-10	40.46295104	-79.91909669
311422075	Spring Garden Ave Playground				SPRING GARDEN AVE		East Allegheny	1	23	42003563200	1	23	1	1-5	40.45771168	-79.99618785
